game_id,season,week,gameday,team,opponent,points_for,points_against,rest_days,is_home,win,offensive_plays,off_epa_per_play,pass_plays,rush_plays,interceptions_thrown,fumbles_lost,pass_rate,turnovers,point_diff,prev_points_for,prev_points_against,prev_win,prev_off_epa_per_play,prev_turnovers,prev_point_diff,rolling_points_for_3,rolling_points_against_3,rolling_win_pct_3,rolling_off_epa_3,rolling_turnovers_3,rolling_point_diff_3,opp_rolling_points_for_3,opp_rolling_points_against_3,opp_rolling_win_pct_3,opp_rolling_off_epa_3,opp_rolling_turnovers_3,opp_rolling_point_diff_3,epa_diff_3,win_pct_diff_3,turnover_diff_3,point_diff_gap_3
2025_16_TB_CAR,2025,16,2025-12-21,CAR,TB,23,20,7,1,1,53,0.10059068346236226,34,19,0,0,0.6415094339622641,0,3,17,20,0,0.11013014508381673,1,-3,19.0,22.666666666666668,0.3333333333333333,0.049026114862661195,1.0,-3.6666666666666665,22.666666666666668,23.333333333333332,0.3333333333333333,-0.02040286182884033,0.6666666666666666,-0.6666666666666666,0.06942897669150153,0.0,0.33333333333333337,-3.0
2025_17_SEA_CAR,2025,17,2025-12-28,CAR,SEA,10,27,7,1,0,49,-0.5107222867168542,26,23,1,1,0.5306122448979592,2,-17,23,20,1,0.10059068346236226,0,3,23.666666666666668,22.666666666666668,0.6666666666666666,0.14943975545157592,0.3333333333333333,1.0,31.0,20.666666666666668,1.0,0.04741638260677302,1.3333333333333333,10.333333333333334,0.1020233728448029,-0.33333333333333337,-1.0,-9.333333333333334
2025_18_CAR_TB,2025,18,2026-01-03,CAR,TB,14,16,6,0,0,47,-0.021426274508918312,34,13,1,2,0.723404255319149,3,-2,10,27,0,-0.5107222867168542,2,-17,16.666666666666668,22.333333333333332,0.3333333333333333,-0.10000048605689173,1.0,-5.666666666666667,21.666666666666668,24.0,0.0,0.06567644980664217,1.6666666666666667,-2.3333333333333335,-0.16567693586353388,0.3333333333333333,-0.6666666666666667,-3.3333333333333335
2024_01_TEN_CHI,2024,1,2024-09-08,CHI,TEN,24,17,7,1,1,52,-0.24889682060395574,32,20,0,0,0.6153846153846154,0,7,,,,,,,,,,,,,,,,,,,,,,
2024_02_CHI_HOU,2024,2,2024-09-15,CHI,HOU,13,19,7,0,0,66,-0.31363906648977563,44,22,2,0,0.6666666666666666,2,-6,24,17,1,-0.24889682060395574,0,7,,,,,,,,,,,,,,,,
2024_03_CHI_IND,2024,3,2024-09-22,CHI,IND,16,21,7,0,0,84,-0.2015746309292614,56,28,2,1,0.6666666666666666,3,-5,13,19,0,-0.31363906648977563,2,-6,,,,,,,,,,,,,,,,
2024_04_LA_CHI,2024,4,2024-09-29,CHI,LA,24,18,7,1,1,52,0.0832592610471906,26,26,0,0,0.5,0,6,16,21,0,-0.2015746309292614,3,-5,17.666666666666668,19.0,0.3333333333333333,-0.2547035060076643,1.6666666666666667,-1.3333333333333333,19.0,30.333333333333332,0.3333333333333333,-0.03319655372413017,0.6666666666666666,-11.333333333333334,-0.22150695228353412,0.0,1.0,10.0
2024_05_CAR_CHI,2024,5,2024-10-06,CHI,CAR,36,10,7,1,1,67,0.2143630333396083,31,36,0,0,0.4626865671641791,0,26,24,18,1,0.0832592610471906,0,6,17.666666666666668,19.333333333333332,0.3333333333333333,-0.14398481212394884,1.6666666666666667,-1.6666666666666667,21.0,27.333333333333332,0.3333333333333333,-0.0950230815793568,0.6666666666666666,-6.333333333333333,-0.04896173054459205,0.0,1.0,4.666666666666666
2024_06_JAX_CHI,2024,6,2024-10-13,CHI,JAX,35,16,7,1,1,58,0.292747729056039,32,26,1,0,0.5517241379310345,1,19,36,10,1,0.2143630333396083,0,26,25.333333333333332,16.333333333333332,0.6666666666666666,0.03201588781917917,1.0,9.0,22.333333333333332,35.0,0.3333333333333333,0.007245848332408582,1.3333333333333333,-12.666666666666666,0.024770039486770586,0.3333333333333333,-0.33333333333333326,21.666666666666664
2024_08_CHI_WAS,2024,8,2024-10-27,CHI,WAS,15,18,14,0,0,61,-0.12941421041781173,28,33,0,1,0.45901639344262296,1,-3,35,16,1,0.292747729056039,1,19,31.666666666666668,14.666666666666666,1.0,0.19679000781427933,0.3333333333333333,17.0,32.333333333333336,16.666666666666668,0.6666666666666666,0.15201304277663802,0.6666666666666666,15.666666666666666,0.04477696503764131,0.33333333333333337,-0.3333333333333333,1.333333333333334
