game_id,season,week,gameday,team,opponent,points_for,points_against,rest_days,is_home,win,offensive_plays,off_epa_per_play,pass_plays,rush_plays,interceptions_thrown,fumbles_lost,pass_rate,turnovers
2024_03_JAX_BUF,2024,3,2024-09-23,BUF,JAX,47,10,11,1,1,59,0.446529584894625,31,28,0,0,0.5254237288135594,0
2024_03_JAX_BUF,2024,3,2024-09-23,JAX,BUF,10,47,8,0,0,68,-0.24341390146074288,51,17,1,1,0.75,2
2024_03_KC_ATL,2024,3,2024-09-22,ATL,KC,17,22,6,1,0,55,-0.09951051042494855,31,24,1,0,0.5636363636363636,1
2024_03_KC_ATL,2024,3,2024-09-22,KC,ATL,22,17,7,0,1,69,0.09948727250851187,39,30,1,0,0.5652173913043478,1
2024_03_LAC_PIT,2024,3,2024-09-22,LAC,PIT,10,20,7,0,0,45,-0.16468273679844483,25,20,0,0,0.5555555555555556,0
2024_03_LAC_PIT,2024,3,2024-09-22,PIT,LAC,20,10,7,1,1,63,0.1316070126630572,34,29,1,0,0.5396825396825397,1
2024_03_MIA_SEA,2024,3,2024-09-22,MIA,SEA,3,24,10,0,0,56,-0.43057976839764395,38,18,0,0,0.6785714285714286,0
2024_03_MIA_SEA,2024,3,2024-09-22,SEA,MIA,24,3,7,1,1,58,-0.004640908284680594,37,21,2,0,0.6379310344827587,2
2024_03_NE_NYJ,2024,3,2024-09-19,NE,NYJ,3,24,4,0,0,48,-0.3996658685687069,33,15,0,1,0.6875,1
2024_03_NE_NYJ,2024,3,2024-09-19,NYJ,NE,24,3,4,1,1,70,0.2564556206806314,37,33,0,0,0.5285714285714286,0
2024_03_NYG_CLE,2024,3,2024-09-22,CLE,NYG,15,21,7,1,0,63,-0.377381554168326,46,17,0,2,0.7301587301587301,2
2024_03_NYG_CLE,2024,3,2024-09-22,NYG,CLE,21,15,7,0,1,66,0.04435736410041135,37,29,0,1,0.5606060606060606,1
2024_03_PHI_NO,2024,3,2024-09-22,NO,PHI,12,15,7,1,0,55,-0.20246732951659602,27,28,1,0,0.4909090909090909,1
2024_03_PHI_NO,2024,3,2024-09-22,PHI,NO,15,12,6,0,1,65,0.03240860712731472,42,23,1,1,0.6461538461538462,2
2024_03_SF_LA,2024,3,2024-09-22,LA,SF,27,24,7,1,1,55,0.11957015910524203,29,26,0,0,0.5272727272727272,0
2024_03_SF_LA,2024,3,2024-09-22,SF,LA,24,27,7,0,0,65,0.20031309955590618,31,34,0,1,0.47692307692307695,1
2024_03_WAS_CIN,2024,3,2024-09-23,CIN,WAS,33,38,8,1,0,61,0.36884499768732204,41,20,0,0,0.6721311475409836,0
2024_03_WAS_CIN,2024,3,2024-09-23,WAS,CIN,38,33,8,0,1,55,0.5153402799418085,25,30,0,0,0.45454545454545453,0
2024_04_BUF_BAL,2024,4,2024-09-29,BAL,BUF,35,10,7,1,1,54,0.29366926166619156,20,34,0,1,0.37037037037037035,1
2024_04_BUF_BAL,2024,4,2024-09-29,BUF,BAL,10,35,6,0,0,57,-0.13561953114747205,34,23,0,1,0.5964912280701754,1
2024_04_CIN_CAR,2024,4,2024-09-29,CAR,CIN,24,34,7,1,0,69,0.003686762715682796,41,28,1,0,0.5942028985507246,1
2024_04_CIN_CAR,2024,4,2024-09-29,CIN,CAR,34,24,6,0,1,62,0.16715398730578387,31,31,1,0,0.5,1
2024_04_CLE_LV,2024,4,2024-09-29,CLE,LV,16,20,7,0,0,57,-0.11794547341168886,35,22,1,0,0.6140350877192983,1
2024_04_CLE_LV,2024,4,2024-09-29,LV,CLE,20,16,7,1,1,53,-0.15934773658131007,26,27,0,1,0.49056603773584906,1
2024_04_DAL_NYG,2024,4,2024-09-26,DAL,NYG,20,15,4,0,1,50,0.20791502489900995,28,22,0,0,0.56,0
2024_04_DAL_NYG,2024,4,2024-09-26,NYG,DAL,15,20,4,1,0,64,-0.04494051165357972,41,23,1,0,0.640625,1
2024_04_DEN_NYJ,2024,4,2024-09-29,DEN,NYJ,10,9,7,0,1,54,-0.2849217022748518,25,29,0,1,0.46296296296296297,1
2024_04_DEN_NYJ,2024,4,2024-09-29,NYJ,DEN,9,10,10,1,0,70,-0.2848852994168686,47,23,0,1,0.6714285714285714,1
2024_04_JAX_HOU,2024,4,2024-09-29,HOU,JAX,24,20,7,1,1,68,0.15695022509361492,42,26,0,0,0.6176470588235294,0
2024_04_JAX_HOU,2024,4,2024-09-29,JAX,HOU,20,24,6,0,0,57,-0.013452732502280854,34,23,0,0,0.5964912280701754,0
2024_04_KC_LAC,2024,4,2024-09-29,KC,LAC,17,10,7,0,1,55,-0.08798858658497692,32,23,1,1,0.5818181818181818,2
2024_04_KC_LAC,2024,4,2024-09-29,LAC,KC,10,17,7,1,0,53,-0.2140258374320349,29,24,0,0,0.5471698113207547,0
2024_04_LA_CHI,2024,4,2024-09-29,CHI,LA,24,18,7,1,1,52,0.0832592610471906,26,26,0,0,0.5,0
2024_04_LA_CHI,2024,4,2024-09-29,LA,CHI,18,24,7,0,0,58,0.03806562744287404,33,25,1,1,0.5689655172413793,2
2024_04_MIN_GB,2024,4,2024-09-29,GB,MIN,29,31,7,1,0,75,-0.12407759683474419,56,19,3,1,0.7466666666666667,4
2024_04_MIN_GB,2024,4,2024-09-29,MIN,GB,31,29,7,0,1,61,0.03344733430047343,30,31,1,1,0.4918032786885246,2
2024_04_NE_SF,2024,4,2024-09-29,NE,SF,13,30,10,0,0,62,-0.4761100484390704,38,24,1,2,0.6129032258064516,3
2024_04_NE_SF,2024,4,2024-09-29,SF,NE,30,13,7,1,1,59,0.1335487611542041,28,31,1,0,0.4745762711864407,1
2024_04_NO_ATL,2024,4,2024-09-29,ATL,NO,26,24,7,1,1,51,0.019696935750721217,36,15,1,0,0.7058823529411765,1
2024_04_NO_ATL,2024,4,2024-09-29,NO,ATL,24,26,7,0,0,70,0.060148734435872674,37,33,1,0,0.5285714285714286,1
2024_04_PHI_TB,2024,4,2024-09-29,PHI,TB,16,33,7,0,0,55,-0.06584126464493403,36,19,0,1,0.6545454545454545,1
2024_04_PHI_TB,2024,4,2024-09-29,TB,PHI,33,16,7,1,1,73,0.2087540926194429,49,24,0,0,0.6712328767123288,0
2024_04_PIT_IND,2024,4,2024-09-29,IND,PIT,27,24,7,1,1,63,0.11364081754727412,32,31,0,0,0.5079365079365079,0
2024_04_PIT_IND,2024,4,2024-09-29,PIT,IND,24,27,7,0,0,67,-0.059012402899375656,37,30,0,2,0.5522388059701493,2
2024_04_SEA_DET,2024,4,2024-09-30,DET,SEA,42,29,8,1,1,48,0.4577093620609958,22,26,0,0,0.4583333333333333,0
