game_id,season,week,gameday,team,opponent,points_for,points_against,rest_days,is_home,win
2024_09_TB_KC,2024,9,2024-11-04,KC,TB,30,24,8,1,1
2024_09_TB_KC,2024,9,2024-11-04,TB,KC,24,30,8,0,0
2024_09_WAS_NYG,2024,9,2024-11-03,NYG,WAS,22,27,6,1,0
2024_09_WAS_NYG,2024,9,2024-11-03,WAS,NYG,27,22,7,0,1
2024_10_ATL_NO,2024,10,2024-11-10,ATL,NO,17,20,7,0,0
2024_10_ATL_NO,2024,10,2024-11-10,NO,ATL,20,17,7,1,1
2024_10_BUF_IND,2024,10,2024-11-10,BUF,IND,30,20,7,0,1
2024_10_BUF_IND,2024,10,2024-11-10,IND,BUF,20,30,7,1,0
2024_10_CIN_BAL,2024,10,2024-11-07,BAL,CIN,35,34,4,1,1
2024_10_CIN_BAL,2024,10,2024-11-07,CIN,BAL,34,35,4,0,0
2024_10_DEN_KC,2024,10,2024-11-10,DEN,KC,14,16,7,0,0
2024_10_DEN_KC,2024,10,2024-11-10,KC,DEN,16,14,6,1,1
2024_10_DET_HOU,2024,10,2024-11-10,DET,HOU,26,23,7,0,1
2024_10_DET_HOU,2024,10,2024-11-10,HOU,DET,23,26,10,1,0
2024_10_MIA_LA,2024,10,2024-11-11,LA,MIA,15,23,8,1,0
2024_10_MIA_LA,2024,10,2024-11-11,MIA,LA,23,15,8,0,1
2024_10_MIN_JAX,2024,10,2024-11-10,JAX,MIN,7,12,7,1,0
2024_10_MIN_JAX,2024,10,2024-11-10,MIN,JAX,12,7,7,0,1
2024_10_NE_CHI,2024,10,2024-11-10,CHI,NE,3,19,7,1,0
2024_10_NE_CHI,2024,10,2024-11-10,NE,CHI,19,3,7,0,1
2024_10_NYG_CAR,2024,10,2024-11-10,CAR,NYG,20,17,7,1,1
2024_10_NYG_CAR,2024,10,2024-11-10,NYG,CAR,17,20,7,0,0
2024_10_NYJ_ARI,2024,10,2024-11-10,ARI,NYJ,31,6,7,1,1
2024_10_NYJ_ARI,2024,10,2024-11-10,NYJ,ARI,6,31,10,0,0
2024_10_PHI_DAL,2024,10,2024-11-10,DAL,PHI,6,34,7,1,0
2024_10_PHI_DAL,2024,10,2024-11-10,PHI,DAL,34,6,7,0,1
2024_10_PIT_WAS,2024,10,2024-11-10,PIT,WAS,28,27,13,0,1
2024_10_PIT_WAS,2024,10,2024-11-10,WAS,PIT,27,28,7,1,0
2024_10_SF_TB,2024,10,2024-11-10,SF,TB,23,20,14,0,1
2024_10_SF_TB,2024,10,2024-11-10,TB,SF,20,23,6,1,0
2024_10_TEN_LAC,2024,10,2024-11-10,LAC,TEN,27,17,7,1,1
2024_10_TEN_LAC,2024,10,2024-11-10,TEN,LAC,17,27,7,0,0
2024_11_ATL_DEN,2024,11,2024-11-17,ATL,DEN,6,38,7,0,0
2024_11_ATL_DEN,2024,11,2024-11-17,DEN,ATL,38,6,7,1,1
2024_11_BAL_PIT,2024,11,2024-11-17,BAL,PIT,16,18,10,0,0
2024_11_BAL_PIT,2024,11,2024-11-17,PIT,BAL,18,16,7,1,1
2024_11_CIN_LAC,2024,11,2024-11-17,CIN,LAC,27,34,10,0,0
2024_11_CIN_LAC,2024,11,2024-11-17,LAC,CIN,34,27,7,1,1
2024_11_CLE_NO,2024,11,2024-11-17,CLE,NO,14,35,14,0,0
2024_11_CLE_NO,2024,11,2024-11-17,NO,CLE,35,14,7,1,1
2024_11_GB_CHI,2024,11,2024-11-17,CHI,GB,19,20,7,1,0
2024_11_GB_CHI,2024,11,2024-11-17,GB,CHI,20,19,14,0,1
2024_11_HOU_DAL,2024,11,2024-11-18,DAL,HOU,10,34,8,1,0
2024_11_HOU_DAL,2024,11,2024-11-18,HOU,DAL,34,10,8,0,1
2024_11_IND_NYJ,2024,11,2024-11-17,IND,NYJ,28,27,7,0,1
2024_11_IND_NYJ,2024,11,2024-11-17,NYJ,IND,27,28,7,1,0
2024_11_JAX_DET,2024,11,2024-11-17,DET,JAX,52,6,7,1,1
2024_11_JAX_DET,2024,11,2024-11-17,JAX,DET,6,52,7,0,0
2024_11_KC_BUF,2024,11,2024-11-17,BUF,KC,30,21,7,1,1
2024_11_KC_BUF,2024,11,2024-11-17,KC,BUF,21,30,7,0,0
2024_11_LA_NE,2024,11,2024-11-17,LA,NE,28,22,6,0,1
2024_11_LA_NE,2024,11,2024-11-17,NE,LA,22,28,7,1,0
2024_11_LV_MIA,2024,11,2024-11-17,LV,MIA,19,34,14,0,0
2024_11_LV_MIA,2024,11,2024-11-17,MIA,LV,34,19,6,1,1
2024_11_MIN_TEN,2024,11,2024-11-17,MIN,TEN,23,13,7,0,1
2024_11_MIN_TEN,2024,11,2024-11-17,TEN,MIN,13,23,7,1,0
2024_11_SEA_SF,2024,11,2024-11-17,SEA,SF,20,17,14,0,1
2024_11_SEA_SF,2024,11,2024-11-17,SF,SEA,17,20,7,1,0
2024_11_WAS_PHI,2024,11,2024-11-14,PHI,WAS,26,18,4,1,1
